Compound	H	C	N	O	P	S	Cl	Co	Se
Xanthosine+5'-phosphate_C10H13N4O9P_364.041992	13	60	28	72	15	0	0	0	0
beta-D-Glucose+1-phosphate_C6H13O9P_260.029785	13	36	0	72	15	0	0	0	0
"beta-D-Fructose+2,6-bisphosphate_C6H14O12P2_339.996002"	14	36	0	96	30	0	0	0	0
gamma-L-Glutamyl-L-cysteine_C8H14N2O5S_250.062393	14	48	14	40	0	16	0	0	0
sn-glycero-3-Phosphocholine_C8H21NO6P_258.110687	21	48	7	48	15	0	0	0	0
2-Deoxy-D-ribose+1-phosphate_C5H11O7P_214.024307	11	30	0	56	15	0	0	0	0
"5alpha-Androstane-3,17-dione_C19H28O2_288.208893"	28	114	0	16	0	0	0	0	0
5-Dehydro-4-deoxy-D-glucarate_C6H8O7_192.026993	8	36	0	56	0	0	0	0	0
1-Acyl-sn-glycerol+3-phosphate_C4H8O7PR_199.000793	8	24	0	56	15	0	0	0	0
2-Hydroxymuconate+semialdehyde_C6H6O4_142.026596	6	36	0	32	0	0	0	0	0
2-Dehydro-3-deoxy-L-arabinonate_C5H8O5_148.037201	8	30	0	40	0	0	0	0	0
dTDP-4-dehydro-6-deoxy-alpha-D-glucose_C16H24N2O15P2_546.065002	24	96	14	120	30	0	0	0	0
"alpha,alpha'-Trehalose+6-phosphate_C12H23O14P_422.082489"	23	72	0	112	15	0	0	0	0
"2,4,6/3,5-Pentahydroxycyclohexanone_C6H10O6_178.047806"	10	36	0	48	0	0	0	0	0
"(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate_C20H32O5_352.225006"	32	120	0	40	0	0	0	0	0
Nitrogen_N2_28.006100	0	0	14	0	0	0	0	0	0
XTP_C10H15N4O15P3_523.974487	15	60	28	120	45	0	0	0	0
dCDP_C9H15N3O10P2_387.023285	15	54	21	80	30	0	0	0	0
Betaine_C5H11NO2_117.079002	11	30	7	16	0	0	0	0	0
Nitrile_CNR_26.003099	0	6	7	0	0	0	0	0	0
Cortisol_C21H30O5_362.209290	30	126	0	40	0	0	0	0	0
Cysteine_C3H7NO2S_121.019699	7	18	7	16	0	16	0	0	0
D-Lysine_C6H14N2O2_146.105499	14	36	14	16	0	0	0	0	0
D-Serine_C3H7NO3_105.042603	7	18	7	24	0	0	0	0	0
Diacetyl_C4H6O2_86.036797	6	24	0	16	0	0	0	0	0
Siroheme_C42H44FeN4O16_916.210083	44	252	28	128	0	0	0	0	0
